transaction_id,posting_date,fiscal_year,fiscal_quarter,cost_center,department,expense_category,vendor_name,actual_amount_usd,actual_amount_inr,payment_status
TXN-2025021982,2025-01-01,2025,Q1,CC-600,Product & Design,Design Contractors,Design Contractor Pool,15303.1,1460833.93,Settled
TXN-2025010247,2025-01-01,2025,Q1,CC-200,Marketing,Brand & Creative Assets,Canva Enterprise,4387.14,418796.38,Settled
TXN-2025004270,2025-01-01,2025,Q1,CC-100,Engineering,Salaries & Contractors,Robert Half,4608.21,439899.73,Settled
TXN-2025012511,2025-01-01,2025,Q1,CC-300,Sales,Commissions & Incentives,Direct Commission Disbursal,7087.36,676559.39,Cleared
TXN-2025021493,2025-01-01,2025,Q1,CC-600,Product & Design,Prototyping Software,Miro,4248.91,405600.95,Settled
TXN-2025018072,2025-01-01,2025,Q1,CC-500,Finance & Legal,External Audit & Tax,EY,10552.34,1007326.38,Settled
TXN-2025012693,2025-01-01,2025,Q1,CC-300,Sales,Commissions & Incentives,Direct Commission Disbursal,5645.18,538888.88,Settled
TXN-2025006486,2025-01-01,2025,Q1,CC-100,Engineering,Hardware & Peripherals,Lenovo,4012.7,383052.34,Settled
TXN-2025015286,2025-01-01,2025,Q1,CC-400,Operations,SaaS Licenses & ERP,ServiceNow,4430.14,422901.16,Settled
TXN-2025006768,2025-01-01,2025,Q1,CC-100,Engineering,Hardware & Peripherals,CDW,6504.83,620951.07,Settled
TXN-2025006783,2025-01-01,2025,Q1,CC-100,Engineering,Hardware & Peripherals,Lenovo,9409.34,898215.6,Settled
TXN-2025012814,2025-01-01,2025,Q1,CC-300,Sales,Commissions & Incentives,Xactly,5690.92,543255.22,Settled
TXN-2025001996,2025-01-01,2025,Q1,CC-100,Engineering,Cloud Infrastructure,AWS,1327.28,126702.15,Pending
TXN-2025023539,2025-01-01,2025,Q1,CC-700,Customer Success,Ticketing & Support Tools,Zendesk,11567.58,1104241.19,Settled
TXN-2025021226,2025-01-01,2025,Q1,CC-600,Product & Design,Prototyping Software,Figma,14065.74,1342715.54,Settled
TXN-2025006872,2025-01-01,2025,Q1,CC-200,Marketing,Paid Performance Ads,LinkedIn Ads,5960.89,569026.56,Settled
TXN-2025012492,2025-01-01,2025,Q1,CC-300,Sales,Commissions & Incentives,Xactly,12846.89,1226364.12,Settled
TXN-2025021165,2025-01-01,2025,Q1,CC-600,Product & Design,Prototyping Software,Miro,4871.15,464999.98,Settled
TXN-2025004286,2025-01-01,2025,Q1,CC-100,Engineering,Salaries & Contractors,Robert Half,10846.92,1035446.98,Settled
TXN-2025024305,2025-01-01,2025,Q1,CC-700,Customer Success,Retention Swag & Gifting,Corporate Gifting Co.,9363.57,893846.39,Cleared
TXN-2025005417,2025-01-01,2025,Q1,CC-100,Engineering,DevOps Tooling,Atlassian,5035.37,480676.42,Settled
TXN-2025011307,2025-01-01,2025,Q1,CC-300,Sales,Travel & Entertainment,Uber for Business,5870.76,560422.75,Cleared
TXN-2025011489,2025-01-01,2025,Q1,CC-300,Sales,Commissions & Incentives,Xactly,8651.19,825842.6,Settled
TXN-2025005450,2025-01-01,2025,Q1,CC-100,Engineering,DevOps Tooling,Datadog,4411.44,421116.06,Cleared
TXN-2025011009,2025-01-01,2025,Q1,CC-300,Sales,Travel & Entertainment,American Airlines,7955.62,759443.49,Settled
TXN-2025015672,2025-01-01,2025,Q1,CC-400,Operations,SaaS Licenses & ERP,SAP,5575.27,532215.27,Settled
TXN-2025005559,2025-01-01,2025,Q1,CC-100,Engineering,DevOps Tooling,Datadog,4260.59,406715.92,Cleared
TXN-2025004976,2025-01-01,2025,Q1,CC-100,Engineering,DevOps Tooling,Atlassian,16102.28,1537123.65,Settled
TXN-2025019104,2025-01-01,2025,Q1,CC-500,Finance & Legal,Legal Counsel & Retainers,Clifford Chance,2052.85,195965.06,Settled
TXN-2025023752,2025-01-01,2025,Q1,CC-700,Customer Success,Customer Advisory Board,Four Seasons Hotels,3194.38,304935.51,Settled
TXN-2025019133,2025-01-01,2025,Q1,CC-500,Finance & Legal,Legal Counsel & Retainers,Clifford Chance,15368.52,1467078.92,Settled
TXN-2025022412,2025-01-01,2025,Q1,CC-600,Product & Design,Design Contractors,Fiverr Business,10661.02,1017700.97,Settled
TXN-2025012309,2025-01-01,2025,Q1,CC-300,Sales,Commissions & Incentives,Xactly,3621.03,345663.52,Settled
TXN-2025002191,2025-01-01,2025,Q1,CC-100,Engineering,Salaries & Contractors,Contractor Payroll,9236.37,881703.88,Cleared
TXN-2025012427,2025-01-01,2025,Q1,CC-300,Sales,Commissions & Incentives,Xactly,2101.59,200617.78,Cleared
TXN-2025012447,2025-01-01,2025,Q1,CC-300,Sales,Commissions & Incentives,Direct Commission Disbursal,7872.32,751491.67,Settled
TXN-2025009684,2025-01-01,2025,Q1,CC-200,Marketing,Content & SEO Agencies,ContentWorks,1494.33,142648.74,Cleared
TXN-2025015938,2025-01-01,2025,Q1,CC-400,Operations,Office Facilities & Lease,Regus,5549.96,529799.18,Settled
TXN-2025001482,2025-01-01,2025,Q1,CC-100,Engineering,Cloud Infrastructure,Google Cloud,3275.87,312714.55,Cleared
TXN-2025002761,2025-01-01,2025,Q1,CC-100,Engineering,Salaries & Contractors,Contractor Payroll,5795.33,553222.2,Settled
TXN-2025020900,2025-01-01,2025,Q1,CC-600,Product & Design,Prototyping Software,Miro,12647.41,1207321.76,Settled
TXN-2025001488,2025-01-01,2025,Q1,CC-100,Engineering,Cloud Infrastructure,Microsoft Azure,2136.26,203927.38,Settled
